Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
673536;6852;228;14;21;19;2;Хамовники;LINESTRING (37.578489 55.744269, 37.578386 55.744297);POINT (37.5784 55.7443);myData.biz;55.744269;37.578489;55.744297;37.578386
673537;6880;229;14;21;19;2;Хамовники;LINESTRING (37.578386 55.744297, 37.578323 55.744314);POINT (37.5784 55.7443);myData.biz;55.744297;37.578386;55.744314;37.578323
673538;185173;6172;383;586;524;80;Хамовники;LINESTRING (37.577396 55.741345, 37.577448 55.741321);POINT (37.5774 55.7413);myData.biz;55.741345;37.577396;55.741321;37.577448
673539;185173;6172;383;586;524;80;Хамовники;LINESTRING (37.577448 55.741321, 37.577697 55.74129);POINT (37.5776 55.7413);myData.biz;55.741321;37.577448;55.74129;37.577697
673540;28370;945;58;89;80;12;Хамовники;LINESTRING (37.578523 55.741128, 37.578502 55.741076);POINT (37.5785 55.7411);myData.biz;55.741128;37.578523;55.741076;37.578502
673541;1296;43;2;4;3;0;Хамовники;LINESTRING (37.578689 55.74104, 37.578985 55.740997);POINT (37.5788 55.741);myData.biz;55.74104;37.578689;55.740997;37.578985
673542;73046;2434;151;231;206;31;Хамовники;LINESTRING (37.574547 55.739224, 37.574696 55.739529);POINT (37.5746 55.7394);myData.biz;55.739224;37.574547;55.739529;37.574696
673543;76714;2557;158;242;217;33;Хамовники;LINESTRING (37.57567 55.739434, 37.575778 55.739438);POINT (37.5757 55.7394);myData.biz;55.739434;37.57567;55.739438;37.575778
673545;20627;687;42;65;58;8;Хамовники;LINESTRING (37.580232 55.739717, 37.580409 55.740018);POINT (37.5803 55.7399);myData.biz;55.739717;37.580232;55.740018;37.580409
673546;9834;327;20;31;27;4;Хамовники;LINESTRING (37.580788 55.739948, 37.580816 55.739994);POINT (37.5808 55.74);myData.biz;55.739948;37.580788;55.739994;37.580816
673547;9471;315;19;29;26;4;Хамовники;LINESTRING (37.580816 55.739994, 37.58112 55.740509);POINT (37.581 55.7403);myData.biz;55.739994;37.580816;55.740509;37.58112
673549;22725;757;47;71;64;9;Хамовники;LINESTRING (37.580301 55.73954, 37.580338 55.739517);POINT (37.5803 55.7395);myData.biz;55.73954;37.580301;55.739517;37.580338
