Identif,MonthlyPeoples,DailyPeoples,HourlyPeoples_08_22,HourlyPeoples_08_10,HourlyPeoples_17_19,HourlyPeoples_22_08,DistrictName,WKT,HeatmapPoint,Author,lat1,lon1,lat2,lon2,CoordinateLan,CoordinateLng,P,RentCost,NormalizeRentCost,NormalizeTraffic,RelativeValue
5400,567,18,1,1,1,0,Хамовники,"LINESTRING (37.557372 55.712137, 37.557559 55.712199)",POINT (37.5575 55.7122),myData.biz,55.712137,37.557372,55.712199,37.557559,55.7122,37.5575,0.0,-1.0,1.0,0.0003311846419135442,0.0
5401,7613,253,15,24,21,3,Хамовники,"LINESTRING (37.55805 55.7121, 37.558109 55.712092)",POINT (37.5581 55.7121),myData.biz,55.7121,37.55805,55.712092,37.558109,55.7121,37.5581,0.0,-1.0,1.0,0.004676672513278223,0.0
5402,2375,79,4,7,6,1,Хамовники,"LINESTRING (37.552999 55.712246, 37.553019 55.71224)",POINT (37.553 55.7122),myData.biz,55.712246,37.552999,55.71224,37.553019,55.7122,37.553,0.0,-1.0,1.0,0.0014462346094734843,0.0
5403,2375,79,4,7,6,1,Хамовники,"LINESTRING (37.553019 55.71224, 37.552937 55.712141)",POINT (37.553 55.7122),myData.biz,55.71224,37.553019,55.712141,37.552937,55.7122,37.553,0.0,-1.0,1.0,0.0014462346094734843,0.0
5404,2375,79,4,7,6,1,Хамовники,"LINESTRING (37.552937 55.712141, 37.553032 55.712113)",POINT (37.553 55.7121),myData.biz,55.712141,37.552937,55.712113,37.553032,55.7121,37.553,0.0,-1.0,1.0,0.0014462346094734843,0.0
5405,2375,79,4,7,6,1,Хамовники,"LINESTRING (37.553032 55.712113, 37.554247 55.711825)",POINT (37.5536 55.712),myData.biz,55.712113,37.553032,55.711825,37.554247,55.712,37.5536,0.0,-1.0,1.0,0.0014462346094734843,0.0
5406,2375,79,4,7,6,1,Хамовники,"LINESTRING (37.554247 55.711825, 37.554484 55.711774)",POINT (37.5544 55.7118),myData.biz,55.711825,37.554247,55.711774,37.554484,55.7118,37.5544,0.0,-1.0,1.0,0.0014462346094734843,0.0
5407,2375,79,4,7,6,1,Хамовники,"LINESTRING (37.554484 55.711774, 37.555597 55.711576)",POINT (37.555 55.7117),myData.biz,55.711774,37.554484,55.711576,37.555597,55.7117,37.555,0.0,-1.0,1.0,0.0014462346094734843,0.0
5408,2375,79,4,7,6,1,Хамовники,"LINESTRING (37.555597 55.711576, 37.555702 55.71156)",POINT (37.5556 55.7116),myData.biz,55.711576,37.555597,55.71156,37.555702,55.7116,37.5556,0.0,-1.0,1.0,0.0014462346094734843,0.0
5434,16367,545,33,51,46,7,Хамовники,"LINESTRING (37.559766 55.710463, 37.558465 55.709496)",POINT (37.5591 55.71),myData.biz,55.710463,37.559766,55.709496,37.558465,55.71,37.5591,0.0,-1.0,1.0,0.010075537234528064,0.0
61042,47646,1588,98,150,134,20,Хамовники,"LINESTRING (37.557761 55.709377, 37.560313 55.711311)",POINT (37.559 55.7103),myData.biz,55.709377,37.557761,55.711311,37.560313,55.7103,37.559,0.0,-1.0,1.0,0.029366271712021077,0.0
61043,47646,1588,98,150,134,20,Хамовники,"LINESTRING (37.560313 55.711311, 37.560467 55.711423)",POINT (37.5604 55.7114),myData.biz,55.711311,37.560313,55.711423,37.560467,55.7114,37.5604,0.0,-1.0,1.0,0.029366271712021077,0.0
61044,47646,1588,98,150,134,20,Хамовники,"LINESTRING (37.560467 55.711423, 37.560389 55.711461)",POINT (37.5604 55.7114),myData.biz,55.711423,37.560467,55.711461,37.560389,55.7114,37.5604,0.0,-1.0,1.0,0.029366271712021077,0.0
61045,16990,566,35,53,48,7,Хамовники,"LINESTRING (37.560389 55.711461, 37.560995 55.7119)",POINT (37.5607 55.7117),myData.biz,55.711461,37.560389,55.7119,37.560995,55.7117,37.5607,0.0,-1.0,1.0,0.010459760757641916,0.0
61046,1126,37,2,3,3,0,Хамовники,"LINESTRING (37.560995 55.7119, 37.561553 55.711662)",POINT (37.5613 55.7118),myData.biz,55.7119,37.560995,55.711662,37.561553,55.7118,37.5613,0.0,-1.0,1.0,0.0006759373697155389,0.0
61047,1126,37,2,3,3,0,Хамовники,"LINESTRING (37.561553 55.711662, 37.565201 55.714397)",POINT (37.5634 55.713),myData.biz,55.711662,37.561553,55.714397,37.565201,55.713,37.5634,0.11125948131515857,-1.0,1.0,0.0006759373697155389,0.0
61048,45,1,0,0,0,0,Хамовники,"LINESTRING (37.565201 55.714397, 37.565273 55.714414)",POINT (37.5652 55.7144),myData.biz,55.714397,37.565201,55.714414,37.565273,55.7144,37.5652,0.14153240690933366,312286.1111111111,0.49957934867860837,9.250967651216317e-06,2.9733860595605963e-05
61049,45,1,0,0,0,0,Хамовники,"LINESTRING (37.565273 55.714414, 37.565461 55.714514)",POINT (37.5654 55.7145),myData.biz,55.714414,37.565273,55.714514,37.565461,55.7145,37.5654,0.14483084635824978,364936.72839506174,0.5838068436804246,9.250967651216317e-06,2.463423804041116e-05
61050,45,1,0,0,0,0,Хамовники,"LINESTRING (37.565461 55.714514, 37.565497 55.714533)",POINT (37.5655 55.7145),myData.biz,55.714514,37.565461,55.714533,37.565497,55.7145,37.5655,0.14552174452930658,364936.72839506174,0.5838068436804246,9.250967651216317e-06,2.4614335837513613e-05
61051,45,1,0,0,0,0,Хамовники,"LINESTRING (37.565497 55.714533, 37.565518 55.714541)",POINT (37.5655 55.7145),myData.biz,55.714533,37.565497,55.714541,37.565518,55.7145,37.5655,0.14552174452930658,364936.72839506174,0.5838068436804246,9.250967651216317e-06,2.4614335837513613e-05
61052,45,1,0,0,0,0,Хамовники,"LINESTRING (37.565518 55.714541, 37.565538 55.714549)",POINT (37.5655 55.7145),myData.biz,55.714541,37.565518,55.714549,37.565538,55.7145,37.5655,0.14552174452930658,364936.72839506174,0.5838068436804246,9.250967651216317e-06,2.4614335837513613e-05
61053,45,1,0,0,0,0,Хамовники,"LINESTRING (37.565538 55.714549, 37.56566 55.714597)",POINT (37.5656 55.7146),myData.biz,55.714549,37.565538,55.714597,37.56566,55.7146,37.5656,0.14827918229820738,364936.72839506174,0.5838068436804246,9.250967651216317e-06,2.4534904326108585e-05
61054,45,1,0,0,0,0,Хамовники,"LINESTRING (37.56566 55.714597, 37.565977 55.71443)",POINT (37.5658 55.7145),myData.biz,55.714597,37.56566,55.71443,37.565977,55.7145,37.5658,0.14757908266385833,364936.72839506174,0.5838068436804246,9.250967651216317e-06,2.4555071588890592e-05
61055,45,1,0,0,0,0,Хамовники,"LINESTRING (37.565977 55.71443, 37.5661 55.714492)",POINT (37.566 55.7145),myData.biz,55.71443,37.565977,55.714492,37.5661,55.7145,37.566,0.14893484258379827,364936.72839506174,0.5838068436804246,9.250967651216317e-06,2.4516017195439632e-05
61056,45,1,0,0,0,0,Хамовники,"LINESTRING (37.5661 55.714492, 37.565992 55.71455)",POINT (37.566 55.7145),myData.biz,55.714492,37.5661,55.71455,37.565992,55.7145,37.566,0.14893484258379827,364936.72839506174,0.5838068436804246,9.250967651216317e-06,2.4516017195439632e-05
61057,45,1,0,0,0,0,Хамовники,"LINESTRING (37.565992 55.71455, 37.565965 55.714593)",POINT (37.566 55.7146),myData.biz,55.71455,37.565992,55.714593,37.565965,55.7146,37.566,0.15112332277960389,364936.72839506174,0.5838068436804246,9.250967651216317e-06,2.4452975232500938e-05
61058,45,1,0,0,0,0,Хамовники,"LINESTRING (37.565965 55.714593, 37.565968 55.714651)",POINT (37.566 55.7146),myData.biz,55.714593,37.565965,55.714651,37.565968,55.7146,37.566,0.15112332277960389,364936.72839506174,0.5838068436804246,9.250967651216317e-06,2.4452975232500938e-05
61059,45,1,0,0,0,0,Хамовники,"LINESTRING (37.565968 55.714651, 37.566202 55.714824)",POINT (37.5661 55.7147),myData.biz,55.714651,37.565968,55.714824,37.566202,55.7147,37.5661,0.15410077110601908,368033.82352941175,0.5887614022099431,9.250967651216317e-06,2.407712738741425e-05
